age,gender,education_level,marital_status,monthly_income,existing_credit_limit,credit_score_raw,credit_approved,recommended_limit
41,Male,High School,Single,79264.07,102600.0,63.0,1,128200.0
34,Male,High School,Single,130696.02,127200.0,64.0,1,159000.0
43,Female,Bachelor,Single,81569.05,27400.0,67.0,1,34200.0
52,Male,Master,Married,102428.67,0.0,67.0,1,153600.0
33,Female,Bachelor,Married,62214.4,29200.0,63.0,1,36500.0
33,Male,Bachelor,Married,12160.36,24800.0,65.0,1,23700.0
53,Male,Bachelor,Divorced,47753.8,46600.0,66.0,1,58200.0
44,Male,High School,Married,43973.0,101300.0,62.0,1,77100.0
30,Male,Bachelor,Single,38712.92,54000.0,65.0,1,67500.0
41,Female,Bachelor,Married,59652.24,19400.0,63.0,1,24200.0
30,Male,Bachelor,Married,27661.46,39800.0,67.0,1,49800.0
30,Male,Bachelor,Widowed,12451.86,28700.0,62.0,1,26000.0
38,Male,Bachelor,Married,22989.24,0.0,50.0,1,34500.0
18,Male,Bachelor,Married,99240.24,129800.0,77.0,1,168700.0
18,Female,High School,Married,11234.89,20700.0,46.0,1,20700.0
29,Male,Bachelor,Single,17995.18,8000.0,42.0,1,8800.0
24,Female,Bachelor,Married,143523.69,116800.0,72.0,1,151800.0
39,Female,High School,Single,35068.45,13200.0,43.0,0,13200.0
26,Male,Bachelor,Married,156101.67,238100.0,83.0,1,333300.0
20,Male,High School,Married,27776.96,58100.0,58.0,1,51200.0
52,Female,High School,Married,60411.38,65500.0,65.0,1,81900.0
33,Female,Bachelor,Married,24914.14,13600.0,62.0,1,17000.0
36,Male,Master,Married,17052.53,24800.0,63.0,1,31000.0
20,Male,High School,Single,173961.5,383800.0,76.0,1,498900.0
30,Male,Bachelor,Single,167682.4,267400.0,85.0,1,374400.0
37,Male,Bachelor,Single,69974.95,54500.0,68.0,1,68100.0
23,Male,Master,Married,74007.35,0.0,57.0,1,111000.0
40,Male,Master,Married,21907.71,0.0,46.0,1,32900.0
29,Male,Master,Married,68280.96,33100.0,62.0,1,41400.0
32,Male,Bachelor,Divorced,84176.47,125600.0,77.0,1,163300.0
29,Male,Master,Married,67529.58,164700.0,79.0,1,214100.0
56,Female,High School,Married,47154.08,97500.0,67.0,1,73900.0
35,Female,High School,Married,43497.21,65400.0,57.0,1,75200.0
24,Female,High School,Married,50034.61,116300.0,66.0,1,92300.0
45,Male,Bachelor,Single,38196.32,0.0,48.0,1,57300.0
22,Female,High School,Single,55708.15,114600.0,64.0,1,125300.0
38,Male,High School,Single,20812.44,14700.0,43.0,1,16200.0
18,Female,Master,Married,54022.0,39100.0,69.0,1,48900.0
21,Male,Bachelor,Divorced,25221.71,55700.0,64.0,1,56700.0
38,Male,Master,Married,32090.4,25900.0,65.0,1,32400.0
44,Female,High School,Divorced,15960.17,24300.0,46.0,1,26700.0
37,Male,High School,Married,19827.13,15200.0,45.0,1,16700.0
34,Female,High School,Married,39535.26,64600.0,57.0,1,69300.0
32,Male,High School,Married,29550.18,38500.0,57.0,1,44300.0
19,Male,High School,Married,30853.85,0.0,36.0,0,0.0
28,Male,High School,Married,16920.04,33700.0,46.0,1,31200.0
30,Female,High School,Single,139641.84,114400.0,64.0,1,143000.0
47,Male,Bachelor,Single,20344.56,0.0,41.0,1,30500.0
39,Female,High School,Married,66261.32,162800.0,70.0,1,185800.0
18,Male,High School,Single,85207.91,123600.0,65.0,1,154500.0
39,Female,Bachelor,Married,54228.23,68600.0,75.0,1,89200.0
31,Male,Bachelor,Married,20411.51,8100.0,48.0,1,8900.0
28,Male,Master,Married,28998.73,45600.0,66.0,1,57000.0
42,Male,Bachelor,Married,80516.59,191400.0,86.0,1,250900.0
47,Male,PhD,Widowed,70442.43,161700.0,82.0,1,226400.0
46,Male,Master,Single,84400.28,157300.0,82.0,1,220200.0
26,Male,Bachelor,Married,55406.42,58000.0,71.0,1,75400.0
32,Male,High School,Married,38134.48,73300.0,57.0,1,66800.0
39,Male,High School,Single,166406.37,252700.0,75.0,1,328500.0
46,Male,Bachelor,Single,79951.07,121400.0,73.0,1,157800.0
30,Male,Bachelor,Married,35017.98,73600.0,72.0,1,95700.0
33,Male,Master,Married,150785.93,0.0,73.0,1,226200.0
23,Female,Bachelor,Single,53843.27,84900.0,69.0,1,106100.0
22,Female,PhD,Married,54740.86,88900.0,76.0,1,115600.0
44,Male,Master,Married,114056.15,266500.0,89.0,1,373100.0
50,Female,Master,Married,82260.62,29000.0,72.0,1,37700.0
35,Female,High School,Married,52534.78,0.0,48.0,1,78800.0
47,Male,High School,Married,58451.52,51400.0,60.0,1,64200.0
39,Male,Bachelor,Married,43169.99,92400.0,72.0,1,120100.0
28,Female,Bachelor,Married,78985.59,0.0,54.0,1,118500.0
39,Female,High School,Married,18797.51,17200.0,45.0,1,18900.0
52,Female,Bachelor,Married,65481.36,117100.0,75.0,1,152200.0
35,Female,Bachelor,Married,18428.34,0.0,43.0,0,0.0
53,Male,High School,Married,35011.74,41500.0,57.0,1,47700.0
18,Male,Bachelor,Married,48215.91,17900.0,59.0,1,20600.0
45,Male,Master,Single,35260.1,38200.0,68.0,1,47800.0
36,Male,Bachelor,Married,32401.69,59800.0,67.0,1,63100.0
32,Male,Bachelor,Married,205071.81,310700.0,87.0,1,435000.0
37,Male,High School,Married,29918.1,18300.0,52.0,1,21000.0
18,Male,Bachelor,Married,85265.88,179400.0,82.0,1,251200.0
33,Male,Master,Single,81166.61,84200.0,82.0,1,117900.0
39,Male,Bachelor,Married,20966.84,46800.0,65.0,1,40800.0
52,Male,High School,Single,77268.59,166400.0,68.0,1,147800.0
30,Male,Bachelor,Married,73464.91,45700.0,70.0,1,59400.0
27,Male,Master,Married,25202.47,58000.0,71.0,1,75400.0
30,Female,High School,Single,11286.52,5300.0,36.0,0,5300.0
46,Female,High School,Single,27675.33,33500.0,55.0,1,38500.0
39,Male,High School,Married,118277.75,79300.0,66.0,1,99100.0
30,Male,Bachelor,Married,35961.82,20100.0,62.0,1,25100.0
41,Female,Bachelor,Single,42178.11,23200.0,60.0,1,29000.0
37,Male,Master,Married,42486.8,0.0,53.0,1,63700.0
46,Female,High School,Married,151412.1,0.0,60.0,1,227100.0
28,Male,Bachelor,Married,70826.13,62100.0,66.0,1,77600.0
32,Female,Master,Single,111994.98,35900.0,70.0,1,46700.0
31,Female,High School,Single,174415.0,137600.0,70.0,1,178900.0
19,Female,Bachelor,Married,150400.15,0.0,66.0,1,225600.0
39,Male,Bachelor,Married,69005.57,27600.0,63.0,1,34500.0
38,Female,High School,Married,49678.04,101700.0,70.0,1,132200.0
36,Female,High School,Married,164329.5,54000.0,65.0,1,67500.0
33,Female,Bachelor,Married,30026.83,66100.0,72.0,1,85900.0
20,Male,High School,Single,20807.04,15500.0,39.0,0,15500.0
31,Female,High School,Married,25873.54,62000.0,62.0,1,45300.0
32,Male,PhD,Single,47186.78,92800.0,78.0,1,120600.0
27,Male,Bachelor,Married,15216.74,12800.0,51.0,1,14700.0
34,Female,Master,Married,48523.64,45800.0,73.0,1,59500.0
40,Male,High School,Married,95562.27,86000.0,66.0,1,107500.0
56,Female,Master,Married,18564.79,0.0,43.0,1,27800.0
37,Female,Bachelor,Married,13088.51,11000.0,55.0,1,12600.0
38,Male,Bachelor,Single,36693.57,59500.0,65.0,1,74400.0
35,Female,High School,Single,35129.15,61200.0,55.0,1,70400.0
18,Female,Bachelor,Married,51333.87,0.0,54.0,1,77000.0
35,Male,Bachelor,Married,62360.06,135000.0,80.0,1,189000.0
36,Female,Bachelor,Married,95945.75,0.0,64.0,1,143900.0
63,Male,Master,Married,15060.08,20700.0,60.0,1,25000.0
33,Male,High School,Married,53206.29,0.0,48.0,1,79800.0
39,Male,Master,Married,49333.92,58100.0,78.0,1,75500.0
35,Male,Master,Single,59264.34,67900.0,76.0,1,88300.0
23,Male,Bachelor,Married,22078.64,50400.0,68.0,1,45300.0
48,Female,High School,Married,79099.61,174000.0,70.0,1,198500.0
44,Female,Bachelor,Divorced,11898.2,4500.0,44.0,1,5000.0
44,Male,Bachelor,Married,17510.04,5500.0,48.0,1,6100.0
25,Male,Bachelor,Married,41149.39,0.0,46.0,1,61700.0
51,Male,Bachelor,Married,86275.72,47100.0,76.0,1,61200.0
20,Male,High School,Married,16690.9,0.0,29.0,0,0.0
42,Male,Bachelor,Married,160945.54,0.0,70.0,1,241400.0
60,Male,Bachelor,Married,130929.46,0.0,61.0,1,196400.0
25,Male,Master,Married,67058.13,143900.0,79.0,1,187100.0
29,Male,High School,Single,16561.27,11000.0,39.0,0,11000.0
37,Male,High School,Married,75156.17,0.0,48.0,1,112700.0
30,Female,Master,Single,37408.1,62800.0,68.0,1,78500.0
18,Male,High School,Married,80342.01,154100.0,67.0,1,148200.0
36,Male,Bachelor,Married,36189.71,34100.0,62.0,1,42600.0
24,Male,High School,Single,20591.61,12400.0,39.0,0,12400.0
41,Female,Bachelor,Married,38312.43,17900.0,55.0,1,20600.0
25,Female,Bachelor,Single,43365.91,78000.0,61.0,1,97500.0
53,Female,High School,Single,78769.65,0.0,46.0,1,118200.0
27,Female,PhD,Single,18864.45,6400.0,47.0,1,7000.0
32,Male,High School,Married,41789.14,67600.0,57.0,1,73200.0
44,Female,High School,Single,17869.72,11100.0,43.0,1,12200.0
22,Male,High School,Single,53080.89,20600.0,47.0,1,22700.0
38,Male,Bachelor,Single,48733.58,0.0,56.0,1,73100.0
50,Female,High School,Single,118424.35,94400.0,64.0,1,118000.0
18,Male,High School,Single,81647.72,121200.0,65.0,1,151500.0
38,Female,Master,Married,45976.85,86300.0,78.0,1,112200.0
38,Male,High School,Married,25450.91,0.0,40.0,0,0.0
44,Female,High School,Widowed,24440.66,0.0,37.0,0,0.0
22,Male,High School,Single,46672.87,57400.0,59.0,1,66000.0
21,Male,High School,Married,19723.41,13000.0,41.0,0,13000.0
41,Female,High School,Married,115162.73,217400.0,71.0,1,282600.0
39,Female,High School,Married,77801.67,164200.0,70.0,1,213500.0
38,Female,High School,Married,11702.95,21600.0,50.0,1,20500.0
39,Female,High School,Single,126804.04,0.0,52.0,1,190200.0
28,Female,High School,Married,11397.59,0.0,29.0,0,0.0
38,Male,Bachelor,Married,10029.76,7900.0,55.0,1,9100.0
39,Male,Bachelor,Married,17357.95,33300.0,60.0,1,33800.0
28,Male,High School,Widowed,66644.19,117000.0,58.0,1,132000.0
56,Male,Master,Married,63748.63,148800.0,80.0,1,191900.0
41,Female,Bachelor,Married,23809.17,36900.0,67.0,1,46100.0
22,Male,PhD,Married,71469.22,139300.0,76.0,1,181100.0
43,Female,High School,Married,39940.02,56000.0,57.0,1,64400.0
25,Male,Bachelor,Married,194793.78,416400.0,88.0,1,583000.0
44,Female,High School,Single,127211.25,204200.0,69.0,1,255200.0
48,Male,Bachelor,Married,59020.04,78100.0,75.0,1,101500.0
26,Male,High School,Married,85134.45,0.0,50.0,1,127700.0
46,Female,High School,Married,28041.08,0.0,40.0,1,42100.0
40,Male,Bachelor,Married,21331.37,44400.0,65.0,1,41500.0
45,Male,Bachelor,Married,82278.11,0.0,64.0,1,123400.0
56,Male,Bachelor,Divorced,24303.65,0.0,43.0,1,36500.0
33,Male,High School,Married,66628.7,80500.0,65.0,1,100600.0
27,Male,High School,Single,36927.03,38500.0,51.0,1,44300.0
26,Female,Master,Single,71688.23,0.0,55.0,1,107500.0
27,Male,Master,Married,75565.36,106600.0,74.0,1,138600.0
35,Male,Bachelor,Married,31805.05,15000.0,55.0,1,17200.0
39,Male,Bachelor,Single,85713.42,74600.0,74.0,1,97000.0
